timestamp_utc,headline,product_release
2019-07-17 10:00:03+00:00,Monitoring for Serverless Workloads Now Generally Available in Datadog,TRUE
2019-07-18 14:49:00+00:00,Datadog Achieves AWS Migration Competency Status,FALSE
2019-08-23 15:10:00+00:00,Datadog Files Registration Statement for Proposed Initial Public Offering,FALSE
2019-09-26 16:05:00+00:00,Datadog Announces General Availability of Support for Alibaba Cloud,TRUE
2019-10-24 16:05:00+00:00,Datadog Announces FedRAMP “In Process” Milestone,TRUE
2019-11-12 20:00:00+00:00,Datadog Establishes Japanese Subsidiary,FALSE
2019-11-21 16:05:00+00:00,Datadog Announces Security Monitoring,TRUE
2019-12-03 13:41:00+00:00,Datadog Announces Support for AWS Fargate for Amazon EKS,TRUE
2019-12-12 16:05:00+00:00,Datadog Announces Integration with Microsoft Azure DevOps,TRUE
2020-01-16 17:00:00+00:00,Datadog Launches Partner Network,TRUE
2020-01-16 17:00:01+00:00,Datadog Launches Partner Network in Australia and New Zealand,TRUE
2020-02-04 20:00:00+00:00,Datadog Announces Japan Country Manager,TRUE
2020-02-18 16:05:00+00:00,Datadog Achieves ISO 27001 Certification and ISO 27017 and 27018 Compliance,FALSE
2020-02-25 17:35:00+00:00,Datadog Announces Integration with Nessus,TRUE
2020-04-23 16:05:00+00:00,Datadog Announces General Availability of Security Monitoring,TRUE
2020-04-28 17:33:00+00:00,Datadog Achieves AWS Lambda Ready Designation,FALSE
2020-06-02 16:05:00+00:00,Datadog Is Recognized as a 2020 Gartner Peer Insights Customers’ Choice for IT Infrastructure Monitoring Tools,FALSE
2020-06-17 16:05:00+00:00,Datadog Announces Integration with Amazon Elastic File System for AWS Lambda,TRUE
2020-06-18 16:05:00+00:00,Datadog Achieves FedRAMP Low-Impact SaaS Authorization,FALSE
2020-07-16 16:05:00+00:00,Datadog Announces General Availability of Private Locations for Synthetic Monitoring,TRUE
2020-07-29 18:51:00+00:00,Datadog Announces Support for Streaming Logs with Amazon Data Firehose,TRUE
2020-08-05 16:05:00+00:00,Datadog Wins 2020 AWS Public Sector Partners Award,FALSE
2020-08-06 16:10:00+00:00,Datadog Acquires Undefined Labs to Provide Visibility into CI/CD Workflows,FALSE
2020-08-11 11:00:00+00:00,Datadog Launches Compliance Monitoring To Continuously Monitor Production Environments for Misconfigurations,TRUE
2020-08-11 11:00:01+00:00,Datadog Launches Application Marketplace,TRUE
2020-08-11 11:00:02+00:00,"Datadog Launches Incident Management to Unify Disparate Data, Documentation and Collaboration During Incident Response",TRUE
2020-08-11 11:00:03+00:00,"Datadog Releases Error Tracking to Aggregate, Triage and Prioritize Frontend Application Errors",TRUE
2020-08-11 11:00:04+00:00,Datadog Releases Continuous Profiler for Low-Overhead Application Code Profiling,TRUE
2020-08-19 16:00:00+00:00,Datadog Achieves FedRAMP Moderate-Impact “In Process” Status,FALSE
2020-09-14 17:05:00+00:00,Datadog Announces Distributed Tracing for AWS Step Functions,TRUE
2020-09-15 13:13:00+00:00,Datadog Achieves AWS Outposts Ready Designation,FALSE
2020-09-17 13:00:00+00:00,Datadog Announces ServiceNow Service Graph Connector,TRUE
2020-09-30 11:00:00+00:00,Datadog and Microsoft Announce Strategic Partnership,TRUE
2020-10-06 16:05:00+00:00,Datadog Releases Deployment Tracking to Identify When Performance Issues Are Caused by New Code Deploys,TRUE
2020-10-16 20:05:00+00:00,Datadog is recognized as a 2020 Gartner Peer Insights Customers’ Choice for Application Performance Monitoring,FALSE
2020-11-10 21:10:00+00:00,Datadog and Google Cloud Extend Strategic Partnership into New Regions,TRUE
2020-11-10 21:10:01+00:00,Datadog Releases Monitoring Features for Detecting and Debugging DNS Issues,TRUE
2020-12-16 18:35:00+00:00,Datadog Announces Integration Between Compliance Monitoring and the AWS Well-Architected Tool,TRUE
2020-12-17 21:05:00+00:00,Datadog Releases Capabilities to Correlate User Sessions with Backend Application Traces,TRUE
2020-12-21 21:05:03+00:00,Datadog Helps ParkMobile Migrate to the Cloud and Eliminate Data Center,FALSE
2021-02-09 21:05:00+00:00,Mendix Selects Datadog for Monitoring Multi-Cloud Microservices Environment,FALSE
2021-02-11 21:10:00+00:00,Datadog Signs Definitive Agreement to Acquire Sqreen,FALSE
2021-02-11 21:10:01+00:00,Datadog Acquires Timber Technologies,FALSE
2021-03-31 20:05:00+00:00,Datadog First to Launch Windows Server Monitoring of Live Traffic,TRUE
2021-04-12 20:05:00+00:00,Datadog Completes Acquisition of Sqreen,FALSE
2021-04-14 20:05:00+00:00,Datadog Named a Leader in the 2021 Gartner Magic Quadrant for Application Performance Monitoring,FALSE
2021-05-06 20:10:00+00:00,Datadog Appoints Adam Blitzer as Chief Operating Officer,FALSE
2021-05-19 00:41:00+00:00,Datadog Announces Support for Application Monitoring with AWS App Runner,TRUE
2021-05-24 17:19:00+00:00,Datadog Extension for AWS Lambda Now Generally Available,TRUE
2021-07-01 20:10:00+00:00,Datadog Announces Real-Time Monitoring and Threat Detection for the Salesforce Platform,TRUE
2021-07-22 20:30:00+00:00,Datadog Achieves AWS Government Competency Status,FALSE
2021-07-29 20:30:00+00:00,Datadog Announces Availability on Google Cloud Marketplace to Support Customers’ Cloud Migrations,TRUE
2021-08-04 20:30:44+00:00,Datadog Launches Cloud Security Platform to Provide Security Teams with Unprecedented Observability Capabilities,TRUE
2021-08-17 21:43:00+00:00,Datadog Announces Deep Database Monitoring,TRUE
2021-10-26 16:30:00+00:00,Datadog Introduces Datadog Apps to Extend Platform to Third-Party Applications,TRUE
2021-10-26 16:30:01+00:00,"Datadog Announces Network Device Monitoring to Monitor Any Environment, Anywhere",TRUE
2021-10-26 16:30:02+00:00,Datadog Launches Session Replay to Help All Organizations Build Better Digital Experiences,TRUE
2021-10-26 16:30:03+00:00,Datadog Delivers Industry-First Observability for Software Build and Testing Pipelines,FALSE
2021-10-26 16:30:04+00:00,Datadog Introduces Online Archives for Log Management to Support Historical Investigation and Analysis,TRUE
2021-11-04 20:05:00+00:00,Datadog Completes Acquisition of Ozcode,FALSE
2021-11-29 22:49:51+00:00,Datadog Achieves AWS Migration & Modernization Competency Status,FALSE
2021-11-30 23:35:00+00:00,Datadog Achieves AWS Graviton Ready Designation,FALSE
