timestamp_utc,close,return
2016-08-12 00:00:00+00:00,38.51,
2016-08-15 00:00:00+00:00,38.46,-0.0012983641
2016-08-16 00:00:00+00:00,38.38,-0.0020800832
2016-08-17 00:00:00+00:00,38.14,-0.0062532569
2016-08-18 00:00:00+00:00,38.22,0.0020975354
2016-08-19 00:00:00+00:00,38.09,-0.0034013605
2016-08-22 00:00:00+00:00,38.11,0.0005250722
2016-08-23 00:00:00+00:00,37.86,-0.0065599580
2016-08-24 00:00:00+00:00,37.52,-0.0089804543
2016-08-25 00:00:00+00:00,37.51,-0.0002665245
2016-08-26 00:00:00+00:00,37.65,0.0037323380
2016-08-29 00:00:00+00:00,37.29,-0.0095617530
2016-08-30 00:00:00+00:00,37.0,-0.0077768839
2016-08-31 00:00:00+00:00,37.15,0.0040540541
2016-09-01 00:00:00+00:00,36.83,-0.0086137281
2016-09-02 00:00:00+00:00,37.07,0.0065164268
2016-09-06 00:00:00+00:00,37.18,0.0029673591
2016-09-07 00:00:00+00:00,38.56,0.0371167294
2016-09-08 00:00:00+00:00,39.27,0.0184128631
2016-09-09 00:00:00+00:00,38.01,-0.0320855615
2016-09-12 00:00:00+00:00,38.77,0.0199947382
2016-09-13 00:00:00+00:00,39.86,0.0281145215
2016-09-14 00:00:00+00:00,39.96,0.0025087807
2016-09-15 00:00:00+00:00,40.83,0.0217717718
2016-09-16 00:00:00+00:00,40.7,-0.0031839334
2016-09-19 00:00:00+00:00,40.01,-0.0169533170
2016-09-20 00:00:00+00:00,39.69,-0.0079980005
2016-09-21 00:00:00+00:00,40.29,0.0151171580
2016-09-22 00:00:00+00:00,40.49,0.0049640109
2016-09-23 00:00:00+00:00,40.07,-0.0103729316
2016-09-26 00:00:00+00:00,40.34,0.0067382081
2016-09-27 00:00:00+00:00,41.06,0.0178482895
2016-09-28 00:00:00+00:00,40.97,-0.0021919143
2016-09-29 00:00:00+00:00,40.39,-0.0141567000
2016-09-30 00:00:00+00:00,40.97,0.0143599901
2016-10-03 00:00:00+00:00,40.59,-0.0092750793
2016-10-04 00:00:00+00:00,40.78,0.0046809559
2016-10-05 00:00:00+00:00,40.44,-0.0083374203
2016-10-06 00:00:00+00:00,40.18,-0.0064292779
2016-10-07 00:00:00+00:00,39.88,-0.0074664012
2016-10-10 00:00:00+00:00,39.86,-0.0005015045
2016-10-11 00:00:00+00:00,39.19,-0.0168088309
2016-10-12 00:00:00+00:00,39.53,0.0086756826
2016-10-13 00:00:00+00:00,39.2,-0.0083480901
2016-10-14 00:00:00+00:00,39.24,0.0010204082
2016-10-17 00:00:00+00:00,39.48,0.0061162080
2016-10-18 00:00:00+00:00,39.83,0.0088652482
2016-10-19 00:00:00+00:00,40.24,0.0102937484
2016-10-20 00:00:00+00:00,40.09,-0.0037276342
2016-10-21 00:00:00+00:00,44.15,0.1012721377
2016-10-24 00:00:00+00:00,43.87,-0.0063420159
2016-10-25 00:00:00+00:00,43.31,-0.0127649875
2016-10-26 00:00:00+00:00,42.33,-0.0226275687
2016-10-27 00:00:00+00:00,41.69,-0.0151193007
2016-10-28 00:00:00+00:00,41.76,0.0016790597
2016-10-31 00:00:00+00:00,41.66,-0.0023946360
2016-11-01 00:00:00+00:00,41.54,-0.0028804609
2016-11-02 00:00:00+00:00,41.35,-0.0045739047
2016-11-03 00:00:00+00:00,41.19,-0.0038694075
2016-11-04 00:00:00+00:00,40.9,-0.0070405438
2016-11-07 00:00:00+00:00,41.28,0.0092909535
2016-11-08 00:00:00+00:00,41.58,0.0072674419
2016-11-09 00:00:00+00:00,41.26,-0.0076960077
2016-11-10 00:00:00+00:00,40.45,-0.0196316045
2016-11-11 00:00:00+00:00,40.08,-0.0091470952
2016-11-14 00:00:00+00:00,38.81,-0.0316866267
2016-11-15 00:00:00+00:00,38.94,0.0033496522
2016-11-16 00:00:00+00:00,39.07,0.0033384694
2016-11-17 00:00:00+00:00,39.88,0.0207320195
2016-11-18 00:00:00+00:00,40.08,0.0050150451
2016-11-21 00:00:00+00:00,40.63,0.0137225549
2016-11-22 00:00:00+00:00,40.33,-0.0073837066
2016-11-23 00:00:00+00:00,40.05,-0.0069427225
2016-11-25 00:00:00+00:00,40.26,0.0052434457
2016-11-28 00:00:00+00:00,39.96,-0.0074515648
2016-11-29 00:00:00+00:00,39.89,-0.0017517518
2016-11-30 00:00:00+00:00,39.28,-0.0152920531
2016-12-01 00:00:00+00:00,38.34,-0.0239307536
2016-12-02 00:00:00+00:00,38.62,0.0073030777
2016-12-05 00:00:00+00:00,38.99,0.0095805282
2016-12-06 00:00:00+00:00,38.98,-0.0002564760
2016-12-07 00:00:00+00:00,39.45,0.0120574654
2016-12-08 00:00:00+00:00,39.61,0.0040557668
2016-12-09 00:00:00+00:00,39.65,0.0010098460
2016-12-12 00:00:00+00:00,39.43,-0.0055485498
2016-12-13 00:00:00+00:00,39.43,0.0000000000
2016-12-14 00:00:00+00:00,39.55,0.0030433680
2016-12-15 00:00:00+00:00,39.54,-0.0002528445
2016-12-16 00:00:00+00:00,39.32,-0.0055639858
2016-12-19 00:00:00+00:00,39.44,0.0030518820
2016-12-20 00:00:00+00:00,39.74,0.0076064909
2016-12-21 00:00:00+00:00,40.09,0.0088072471
2016-12-22 00:00:00+00:00,39.68,-0.0102269893
2016-12-23 00:00:00+00:00,39.58,-0.0025201613
2016-12-27 00:00:00+00:00,39.72,0.0035371400
2016-12-28 00:00:00+00:00,39.57,-0.0037764350
2016-12-29 00:00:00+00:00,39.96,0.0098559515
2016-12-30 00:00:00+00:00,39.47,-0.0122622623
2017-01-03 00:00:00+00:00,40.25,0.0197618444
2017-01-04 00:00:00+00:00,41.0,0.0186335404
2017-01-05 00:00:00+00:00,41.06,0.0014634146
2017-01-06 00:00:00+00:00,41.45,0.0094982952
2017-01-09 00:00:00+00:00,41.4,-0.0012062726
2017-01-10 00:00:00+00:00,41.08,-0.0077294686
2017-01-11 00:00:00+00:00,41.28,0.0048685492
2017-01-12 00:00:00+00:00,41.56,0.0067829457
2017-01-13 00:00:00+00:00,41.6,0.0009624639
2017-01-17 00:00:00+00:00,41.27,-0.0079326923
2017-01-18 00:00:00+00:00,41.35,0.0019384541
2017-01-19 00:00:00+00:00,41.27,-0.0019347037
2017-01-20 00:00:00+00:00,41.69,0.0101768839
2017-01-23 00:00:00+00:00,41.62,-0.0016790597
2017-01-24 00:00:00+00:00,41.96,0.0081691494
2017-01-25 00:00:00+00:00,41.71,-0.0059580553
2017-01-26 00:00:00+00:00,41.5,-0.0050347638
2017-01-27 00:00:00+00:00,40.27,-0.0296385542
2017-01-30 00:00:00+00:00,39.86,-0.0101812764
2017-01-31 00:00:00+00:00,39.78,-0.0020070246
2017-02-01 00:00:00+00:00,39.31,-0.0118149824
2017-02-02 00:00:00+00:00,39.58,0.0068684813
2017-02-03 00:00:00+00:00,39.59,0.0002526529
2017-02-06 00:00:00+00:00,39.74,0.0037888356
2017-02-07 00:00:00+00:00,40.02,0.0070457977
2017-02-08 00:00:00+00:00,40.88,0.0214892554
2017-02-09 00:00:00+00:00,40.83,-0.0012230920
2017-02-10 00:00:00+00:00,40.58,-0.0061229488
2017-02-13 00:00:00+00:00,41.17,0.0145391819
2017-02-14 00:00:00+00:00,41.62,0.0109302890
2017-02-15 00:00:00+00:00,41.87,0.0060067275
2017-02-16 00:00:00+00:00,42.15,0.0066873657
2017-02-17 00:00:00+00:00,41.96,-0.0045077106
2017-02-21 00:00:00+00:00,42.43,0.0112011439
2017-02-22 00:00:00+00:00,42.42,-0.0002356823
2017-02-23 00:00:00+00:00,42.53,0.0025931165
2017-02-24 00:00:00+00:00,43.07,0.0126969198
2017-02-27 00:00:00+00:00,42.64,-0.0099837474
2017-02-28 00:00:00+00:00,42.0,-0.0150093809
2017-03-01 00:00:00+00:00,42.43,0.0102380952
2017-03-02 00:00:00+00:00,42.77,0.0080131982
2017-03-03 00:00:00+00:00,43.03,0.0060790274
2017-03-06 00:00:00+00:00,42.87,-0.0037183360
2017-03-07 00:00:00+00:00,42.89,0.0004665267
2017-03-08 00:00:00+00:00,42.79,-0.0023315458
2017-03-09 00:00:00+00:00,42.92,0.0030380930
2017-03-10 00:00:00+00:00,42.99,0.0016309413
2017-03-13 00:00:00+00:00,42.59,-0.0093044894
2017-03-14 00:00:00+00:00,42.1,-0.0115050481
2017-03-15 00:00:00+00:00,42.39,0.0068883610
2017-03-16 00:00:00+00:00,42.4,0.0002359047
2017-03-17 00:00:00+00:00,43.08,0.0160377358
2017-03-20 00:00:00+00:00,43.16,0.0018570102
2017-03-21 00:00:00+00:00,42.64,-0.0120481928
2017-03-22 00:00:00+00:00,43.19,0.0128986867
2017-03-23 00:00:00+00:00,43.14,-0.0011576754
2017-03-24 00:00:00+00:00,43.13,-0.0002318034
2017-03-27 00:00:00+00:00,43.08,-0.0011592859
2017-03-28 00:00:00+00:00,43.15,0.0016248839
2017-03-29 00:00:00+00:00,43.24,0.0020857474
2017-03-30 00:00:00+00:00,43.54,0.0069380204
2017-03-31 00:00:00+00:00,43.02,-0.0119430409
2017-04-03 00:00:00+00:00,42.63,-0.0090655509
2017-04-04 00:00:00+00:00,42.72,0.0021111893
